Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
ED,87.731575,75.26,75.88,-0.6199999999999903,11.851575000000011,-0.008170795993674096,0.1561883895624672,-0.1643591855561413
STZ,222.3418,214.15,216.29,-2.1399999999999864,6.051800000000014,-0.009894123630311094,0.027980026815849157,-0.03787415044616025
GLW,32.312473,29.82,29.8,0.019999999999999574,2.5124729999999964,0.0006711409395973011,0.08431117449664417,-0.08364003355704687
COST,171.76855,183.19,185.01,-1.8199999999999932,-13.241449999999986,-0.009837306091562583,-0.07157153667369325,0.061734230582130664
COTY,17.107649,17.48,17.43,0.05000000000000071,-0.32235100000000116,0.0028686173264486927,-0.018494033275961053,0.021362650602409744
CCI,113.67837,108.75,108.55,0.20000000000000284,5.128370000000004,0.001842468908337198,0.047244311377245544,-0.04540184246890835
CSX,51.07126,52.97,53.82,-0.8500000000000014,-2.748739999999998,-0.015793385358602776,-0.051072835377183164,0.03527945001858039
CMI,160.71268,172.74,174.83,-2.0900000000000034,-14.117320000000007,-0.011954470056626455,-0.08074884173196822,0.06879437167534178
CVS,70.74291,74.35,74.02,0.3299999999999983,-3.277090000000001,0.004458254525803814,-0.04427303431505,0.048731288840853815
DHI,50.612427,46.29,46.11,0.17999999999999972,4.502426999999997,0.003903708523096936,0.09764534808067658,-0.09374163955757965
DHR,nan,95.25,97.05,-1.7999999999999972,nan,-0.018547140649149894,nan,nan
DRI,80.332954,95.08,94.38,0.7000000000000028,-14.047045999999995,0.007416825598643811,-0.14883498622589528,0.1562518118245391
DVA,57.173126,74.66,74.03,0.6299999999999955,-16.856873999999998,0.008510063487775164,-0.22770328245305954,0.2362133459408347
DE,145.54402,161.44,161.88,-0.4399999999999977,-16.335980000000006,-0.0027180627625401394,-0.10091413392636525,0.09819607116382512
DAL,50.330555,53.85,53.1,0.75,-2.7694450000000046,0.014124293785310734,-0.05215527306967994,0.06627956685499067
XRAY,68.41468,58.3,58.46,-0.1600000000000037,9.954680000000003,-0.002736914129319256,0.17028190215531994,-0.1730188162846392
DVN,38.133556,36.76,38.38,-1.6200000000000045,-0.24644400000000388,-0.042209484106305484,-0.006421156852527459,-0.03578832725377802
DLR,118.445465,104.17,104.5,-0.3299999999999983,13.945464999999999,-0.003157894736842089,0.13344942583732056,-0.13660732057416264
DFS,65.52659,76.63,76.14,0.4899999999999949,-10.613410000000002,0.006435513527712042,-0.13939335434725508,0.14582886787496713
DISCA,17.662584,23.12,23.84,-0.7199999999999989,-6.177416000000001,-0.030201342281879148,-0.25911979865771817,0.22891845637583902
DISCK,16.622402,21.95,22.66,-0.7100000000000009,-6.037597999999999,-0.03133274492497797,-0.2664429832303618,0.23511023830538383
DISH,50.571636,45.1,43.32,1.7800000000000011,7.251635999999998,0.04108956602031397,0.1673969529085872,-0.12630738688827323
DG,86.3294,97.88,97.6,0.28000000000000114,-11.270599999999988,0.0028688524590164055,-0.11547745901639332,0.11834631147540972
DLTR,98.51371,106.08,107.85,-1.769999999999996,-9.336289999999991,-0.01641168289290678,-0.08656736207695866,0.07015567918405188
D,83.00111,73.76,74.11,-0.3499999999999943,8.891109999999998,-0.004722709485899262,0.11997179867764131,-0.12469450816354057
DOV,94.636566,99.92,99.83,0.09000000000000341,-5.193433999999996,0.0009015326054292638,-0.05202277872383047,0.05292431132925974
DTE,113.51507,99.27,99.36,-0.09000000000000341,14.155069999999995,-0.0009057971014493097,0.142462459742351,-0.1433682568438003
DUK,89.74489,74.4,74.49,-0.0899999999999892,15.254890000000003,-0.0012082158679015869,0.2047911129010606,-0.2059993287689622
DRE,30.084349,25.37,25.52,-0.14999999999999858,4.564349,-0.005877742946708409,0.17885380094043887,-0.18473154388714727
DXC,98.033424,96.08,95.94,0.14000000000000057,2.093423999999999,0.001459245361684392,0.021820137585991235,-0.020360892224306842
