date,1. open,2. high,3. low,4. close,5. volume
2019-01-09,90.88,91.39,87.46,87.81,9971900.0
2019-01-08,91.2,92.3,90.4,90.79,7478300.0
2019-01-07,90.07,90.76,89.2,90.37,7281500.0
2019-01-04,87.75,89.14,86.27,89.07,8910600.0
2019-01-03,88.64,88.8,86.08,86.29,7653200.0
2019-01-02,91.24,91.26,88.42,89.23,6908400.0
2018-12-31,91.6,92.99,91.23,92.19,5722200.0
2018-12-28,90.09,92.82,90.0,91.12,6037700.0
2018-12-27,87.95,89.93,86.86,89.91,7272800.0
2018-12-26,84.74,89.09,84.62,89.04,6225200.0
2018-12-24,84.85,86.44,83.6,84.16,5097900.0
2018-12-21,84.63,88.71,83.22,84.92,16044700.0
2018-12-20,82.99,86.48,82.41,85.37,9453300.0
2018-12-19,84.33,86.3,82.65,83.52,5510800.0
2018-12-18,85.46,85.5,82.8,83.58,5288600.0
2018-12-17,85.07,86.88,84.2,84.93,5958200.0
2018-12-14,86.8,87.16,85.08,85.61,5461600.0
2018-12-13,89.37,89.99,87.37,87.71,4078600.0
2018-12-12,89.32,90.17,88.36,88.6,4185100.0
2018-12-11,88.62,89.44,86.66,88.17,5098100.0
2018-12-10,86.67,87.88,84.6,87.61,5229400.0
2018-12-07,89.93,90.0,86.37,86.96,6737700.0
2018-12-06,89.7,90.48,87.17,90.33,8734300.0
2018-12-04,93.92,94.98,90.4,90.55,7008400.0
2018-12-03,94.32,94.72,92.82,93.66,6673800.0
2018-11-30,90.26,94.27,89.87,94.27,12031700.0
2018-11-29,89.01,90.33,88.36,89.91,3838000.0
2018-11-28,88.04,88.96,86.56,88.94,3953600.0
2018-11-27,86.22,87.7,85.5,87.68,4338300.0
2018-11-26,86.39,87.25,85.21,86.24,5227900.0
2018-11-23,85.6,86.55,84.9,85.63,1612800.0
2018-11-21,88.5,88.78,85.37,86.15,6532600.0
2018-11-20,89.0,89.71,87.86,88.09,5373000.0
2018-11-19,91.29,92.34,89.11,89.48,5971700.0
2018-11-16,89.73,92.0,89.2,91.53,8691100.0
2018-11-15,87.63,90.29,85.96,90.14,10365700.0
2018-11-14,89.05,89.4,86.45,88.31,7268200.0
2018-11-13,90.0,90.88,88.2,88.22,7237200.0
2018-11-12,88.75,89.89,88.5,89.69,9344900.0
2018-11-09,87.83,89.53,87.56,88.79,9169800.0
2018-11-08,87.13,89.71,87.0,87.73,9333600.0
2018-11-07,84.15,87.22,84.14,86.96,10378400.0
2018-11-06,82.73,84.23,82.31,83.66,7945500.0
2018-11-05,79.45,83.83,79.27,82.58,10315700.0
2018-11-02,84.18,84.42,78.76,79.56,12781500.0
2018-11-01,77.71,80.65,77.5,80.21,10671700.0
2018-10-31,80.98,81.58,77.74,77.85,14068500.0
2018-10-30,81.93,82.88,80.13,81.59,5243100.0
2018-10-29,82.15,83.17,79.94,81.36,4344000.0
2018-10-26,81.02,81.53,79.43,80.79,6181500.0
2018-10-25,80.4,83.19,79.66,81.73,9173500.0
2018-10-24,82.84,83.13,79.26,79.41,8689400.0
2018-10-23,82.58,84.59,81.5,82.96,8096200.0
2018-10-22,88.53,88.53,83.5,84.27,7621100.0
2018-10-19,89.26,89.99,87.97,87.97,7059600.0
2018-10-18,91.85,92.4,89.22,89.9,4422600.0
2018-10-17,91.82,92.41,90.83,92.27,2857500.0
2018-10-16,89.78,91.98,89.53,91.91,3787200.0
2018-10-15,90.51,90.6,89.18,89.18,4827900.0
2018-10-12,90.71,91.08,88.9,90.69,5709600.0
2018-10-11,93.0,93.38,89.61,90.7,9994900.0
2018-10-10,93.85,95.39,92.99,93.08,5310800.0
